treatment,collar,Month,Day,CO2 (ppm),Sample Time (seconds)
Retain,5,10,7,392,81
Retain,5,10,7,393,86
Retain,5,10,7,395,91
Retain,5,10,7,396,96
Retain,5,10,7,398,100
Retain,5,10,7,399,105
Retain,5,10,7,401,110
Retain,5,10,7,403,115
Retain,5,10,7,404,120
Retain,5,10,7,405,124
Retain,6,10,7,389,0
Retain,6,10,7,389,4
Retain,6,10,7,389,9
Retain,6,10,7,390,14
Retain,6,10,7,392,19
Retain,6,10,7,392,24
Retain,6,10,7,393,28
Retain,6,10,7,395,33
Retain,6,10,7,395,38
Retain,6,10,7,396,43
Retain,6,10,7,401,48
Retain,6,10,7,402,52
Retain,6,10,7,405,57
Retain,6,10,7,406,62
Retain,6,10,7,407,67
Retain,6,10,7,409,72
Retain,6,10,7,411,76
Retain,6,10,7,411,81
Retain,6,10,7,412,86
Retain,6,10,7,414,91
Retain,6,10,7,415,96
Retain,6,10,7,417,100
Retain,6,10,7,419,105
Retain,6,10,7,419,110
Retain,6,10,7,420,115
Retain,6,10,7,421,120
Retain,6,10,7,422,124
Retain,1,10,7,393,0
Retain,1,10,7,393,4
Retain,1,10,7,396,9
Retain,1,10,7,395,14
Retain,1,10,7,395,19
Retain,1,10,7,393,24
Retain,1,10,7,394,28
Retain,1,10,7,394,33
Retain,1,10,7,395,38
Retain,1,10,7,395,43
Retain,1,10,7,396,48
Retain,1,10,7,397,52
Retain,1,10,7,397,57
Retain,1,10,7,398,62
Retain,1,10,7,399,67
Retain,1,10,7,399,72
Retain,1,10,7,400,76
Retain,1,10,7,401,81
Retain,1,10,7,402,86
Retain,1,10,7,403,91
Retain,1,10,7,404,96
Retain,1,10,7,405,100
Retain,1,10,7,406,105
Retain,1,10,7,407,110
Retain,1,10,7,408,115
Retain,1,10,7,409,120
Retain,1,10,7,410,124
Retain,2,10,7,389,0
Retain,2,10,7,389,4
Retain,2,10,7,390,9
Retain,2,10,7,391,14
Retain,2,10,7,391,19
Retain,2,10,7,392,24
Retain,2,10,7,392,28
Retain,2,10,7,393,33
Retain,2,10,7,394,38
Retain,2,10,7,395,43
Retain,2,10,7,396,48
Retain,2,10,7,398,52
Retain,2,10,7,399,57
Retain,2,10,7,400,62
Retain,2,10,7,401,67
Retain,2,10,7,402,72
Retain,2,10,7,403,76
Retain,2,10,7,404,81
Retain,2,10,7,405,86
Retain,2,10,7,406,91
Retain,2,10,7,407,96
Retain,2,10,7,407,100
Retain,2,10,7,407,105
Retain,2,10,7,408,110
Retain,2,10,7,409,115
Retain,2,10,7,410,120
Retain,2,10,7,411,124
Control,4,10,7,392,0
Control,4,10,7,395,4
Control,4,10,7,395,9
Control,4,10,7,395,14
Control,4,10,7,396,19
Control,4,10,7,396,24
Control,4,10,7,398,28
Control,4,10,7,399,33
Control,4,10,7,399,38
Control,4,10,7,400,43
Control,4,10,7,401,48
Control,4,10,7,402,52
Control,4,10,7,402,57
Control,4,10,7,403,62
Control,4,10,7,405,67
Control,4,10,7,405,72
Control,4,10,7,406,76
Control,4,10,7,406,81
Control,4,10,7,409,86
Control,4,10,7,410,91
Control,4,10,7,411,96
Control,4,10,7,412,100
Control,4,10,7,413,105
Control,4,10,7,414,110
Control,4,10,7,416,115
Control,4,10,7,417,120
Control,4,10,7,420,124
Control,1,10,7,391,0
Control,1,10,7,393,4
Control,1,10,7,393,9
Control,1,10,7,393,14
Control,1,10,7,394,19
Control,1,10,7,395,24
Control,1,10,7,397,28
Control,1,10,7,397,33
Control,1,10,7,398,38
Control,1,10,7,399,43
Control,1,10,7,400,48
Control,1,10,7,401,52
Control,1,10,7,402,57
Control,1,10,7,401,62
Control,1,10,7,404,67
Control,1,10,7,404,72
Control,1,10,7,406,76
Control,1,10,7,407,81
Control,1,10,7,409,86
Control,1,10,7,409,91
Control,1,10,7,409,96
Control,1,10,7,410,100
Control,1,10,7,411,105
Control,1,10,7,414,110
Control,1,10,7,414,115
Control,1,10,7,415,120
Control,1,10,7,416,124
Control,3,10,7,392,0
Control,3,10,7,394,4
Control,3,10,7,395,9
Control,3,10,7,398,14
Control,3,10,7,394,19
Control,3,10,7,400,24
Control,3,10,7,404,28
Control,3,10,7,406,33
Control,3,10,7,408,38
Control,3,10,7,409,43
Control,3,10,7,410,48
Control,3,10,7,411,52
Control,3,10,7,412,57
Control,3,10,7,414,62
Control,3,10,7,416,67
Control,3,10,7,417,72
Control,3,10,7,420,76
Control,3,10,7,422,81
Control,3,10,7,423,86
Control,3,10,7,424,91
Control,3,10,7,427,96
Control,3,10,7,439,100
Control,3,10,7,438,105
Control,3,10,7,443,110
Control,3,10,7,441,115
Control,3,10,7,439,120
Control,2,10,7,391,0
Control,2,10,7,392,4
Control,2,10,7,396,9
Control,2,10,7,400,14
Control,2,10,7,400,19
Control,2,10,7,400,24
Control,2,10,7,400,28
Control,2,10,7,400,33
Control,2,10,7,400,38
Control,2,10,7,400,43
Control,2,10,7,402,48
Control,2,10,7,403,52
Control,2,10,7,404,57
Control,2,10,7,406,62
Control,2,10,7,407,67
Control,2,10,7,408,72
Control,2,10,7,409,76
Control,2,10,7,410,81
Control,2,10,7,411,86
Control,2,10,7,412,91
Control,2,10,7,413,96
Control,2,10,7,414,100
Control,2,10,7,415,105
Control,2,10,7,417,110
Control,2,10,7,418,115
Control,2,10,7,419,120
Control,2,10,7,420,124
Control,6,10,7,392,0
Control,6,10,7,392,4
Control,6,10,7,394,9
Control,6,10,7,395,14
Control,6,10,7,397,19
Control,6,10,7,396,24
Control,6,10,7,397,28
Control,6,10,7,400,33
Control,6,10,7,400,38
Control,6,10,7,400,43
Control,6,10,7,400,48
Control,6,10,7,401,52
Control,6,10,7,406,57
Control,6,10,7,407,62
Control,6,10,7,409,67
Control,6,10,7,410,72
Control,6,10,7,412,76
Control,6,10,7,413,81
Control,6,10,7,414,86
Control,6,10,7,413,91
Control,6,10,7,412,96
Control,6,10,7,414,100
Control,6,10,7,415,105
Control,6,10,7,417,110
Control,6,10,7,417,115
Control,6,10,7,418,120
Control,6,10,7,419,124
Control,5,10,7,391,0
Control,5,10,7,391,4
Control,5,10,7,391,9
Control,5,10,7,391,14
Control,5,10,7,391,19
Control,5,10,7,391,24
Control,5,10,7,391,28
Control,5,10,7,391,33
Control,5,10,7,391,38
Control,5,10,7,391,43
Control,5,10,7,391,48
Control,5,10,7,392,52
Control,5,10,7,392,57
Control,5,10,7,392,62
Control,5,10,7,392,67
Control,5,10,7,393,72
Control,5,10,7,393,76
Control,5,10,7,394,81
Control,5,10,7,394,86
Control,5,10,7,395,91
Control,5,10,7,395,96
Control,5,10,7,396,100
Control,5,10,7,396,105
Control,5,10,7,397,110
Control,5,10,7,398,115
Control,5,10,7,398,120
Control,5,10,7,399,124
